,name,description
615,Cli Jx Mean Of All Pixels,"Determines the mean average of all pixels in a given image. <br/><br/>It will be stored in a new row of ImageJs<br/>Results table in the column 'Mean'.Parameters<br/>----------<br/>source : Image<br/>    The image of which the mean average of all pixels or voxels will be determined.<br/><br/><br/>Parameters: Image source<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
616,Cli Jx Mean Of Masked Pixels,"Determines the mean intensity in a masked image. <br/><br/>Only in pixels which have non-zero values in another binary mask image.<br/><br/>Parameters: Image source, Image mask<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
617,Cli Jx Mean Of N Nearest Neighbors Map,"Takes a label image and a parametric intensity image and will replace each labels value in the parametric image<br/>by the minimum value of neighboring labels. The distance number of nearest neighbors can be configured.<br/>Note: Values of all pixels in a label each must be identical.<br/><br/>Parameters<br/>----------<br/>parametric_map : Image<br/>label_map : Image<br/>parametric_map_destination : Image<br/>n : int<br/>    number of nearest neighbors<br/><br/>Parameters: Image parametric_map, Image label_map, ByRef Image parametric_map_destination, Number n<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
618,Cli Jx Mean Of Pixels Above Threshold,"Determines the mean intensity in a threshleded image. <br/><br/>But only in pixels which are above a given threshold.<br/><br/>Parameters: Image source, Number threshold<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
619,Cli Jx Mean Of Proximal Neighbors Map,"Takes a label image and a parametric intensity image and will replace each labels value in the parametric image by the mean average value of neighboring labels.<br/><br/> The distance range of the centroids of the neighborhood can be configured.<br/>Note: Values of all pixels in a label each must be identical.<br/><br/>Parameters<br/>----------<br/>parametric_map : Image<br/>label_map : Image<br/>parametric_map_destination : Image<br/>min_distance : float, optional<br/>    default : 0<br/>max_distance : float, optional<br/>    default: maximum float value<br/><br/>Parameters: Image parametric_map, Image label_map, ByRef Image parametric_map_destination, Number min_distance, Number max_distance<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
620,Cli Jx Mean Slice By Slice Sphere,"Computes the local mean average of a pixels ellipsoidal 2D neighborhood in an image stack <br/>slice by slice. <br/><br/>The ellipses size is specified by its half-width and half-height (radius).<br/><br/>This filter is applied slice by slice in 2D.<br/><br/>Parameters: Image source, ByRef Image destination, Number radiusX, Number radiusY<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
621,Cli Jx Mean Squared Error,"Determines the mean squared error (MSE) between two images. <br/><br/>The MSE will be stored in a new row of ImageJs<br/>Results table in the column 'MSE'.<br/><br/>Parameters: Image source1, Image source2<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
622,Cli Jx Mean Z Projection,"Determines the mean average intensity projection of an image along Z.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
623,Cli Jx Mean Z Projection Bounded,"Determines the mean average intensity projection of an image along Z within a given z range.<br/><br/>Parameters: Image source, ByRef Image destination_mean, Number min_z, Number max_z<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
624,Cli Jx Median 2D Box,"Computes the local median of a pixels rectangular neighborhood. <br/><br/>The rectangle is specified by <br/>its half-width and half-height (radius).<br/><br/>For technical reasons, the area of the rectangle must have less than 1000 pixels.<br/><br/>Parameters: Image source, ByRef Image destination, Number radiusX, Number radiusY<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
625,Cli Jx Median 2D Sphere,"Computes the local median of a pixels ellipsoidal neighborhood. <br/><br/>The ellipses size is specified by <br/>its half-width and half-height (radius).<br/><br/>For technical reasons, the area of the ellipse must have less than 1000 pixels.<br/><br/>Parameters: Image source, ByRef Image destination, Number radiusX, Number radiusY<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
626,Cli Jx Median 3D Box,"Computes the local median of a pixels cuboid neighborhood. <br/><br/>The cuboid size is specified by <br/>its half-width, half-height and half-depth (radius).<br/><br/>For technical reasons, the volume of the cuboid must contain less than 1000 voxels.<br/><br/>Parameters: Image source, ByRef Image destination, Number radiusX, Number radiusY, Number radiusZ<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
627,Cli Jx Median 3D Sphere,"Computes the local median of a pixels spherical neighborhood. <br/><br/>The spheres size is specified by <br/>its half-width, half-height and half-depth (radius).<br/><br/>For technical reasons, the volume of the sphere must contain less than 1000 voxels.<br/><br/>Parameters: Image source, ByRef Image destination, Number radiusX, Number radiusY, Number radiusZ<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
628,Cli Jx Median Slice By Slice Box,"Computes the local median of a pixels rectangular neighborhood. <br/><br/>This is done slice-by-slice in a 3D <br/>image stack. The rectangle is specified by its half-width and half-height (radius).<br/><br/>For technical reasons, the area of the rectangle must have less than 1000 pixels.<br/><br/>Parameters: Image source, ByRef Image destination, Number radiusX, Number radiusY<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
629,Cli Jx Median Slice By Slice Sphere,"Computes the local median of a pixels ellipsoidal neighborhood. <br/><br/>This is done slice-by-slice in a 3D <br/>image stack. The ellipses size is specified by its half-width and half-height (radius).<br/><br/>For technical reasons, the area of the ellipse must have less than 1000 pixels.<br/><br/>Parameters: Image source, ByRef Image destination, Number radiusX, Number radiusY<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
630,Cli Jx Median Z Projection,"Determines the median intensity projection of an image stack along Z.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
631,Cli Jx Median Z Projection Masked,"Determines the median intensity projection of an image stack along Z where pixels in a corresponding mask image are unequal to zero.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
632,Cli Jx Merge Touching Labels,"<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
633,Cli Jx Minimum 2D Box,"Computes the local minimum of a pixels rectangular neighborhood. <br/><br/>The rectangles size is specified by <br/>its half-width and half-height (radius).<br/><br/>Parameters: Image source, ByRef Image destination, Number radius_x, Number radius_y<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
634,Cli Jx Minimum 2D Sphere,"Computes the local minimum of a pixels ellipsoidal neighborhood. <br/><br/>The ellipses size is specified by <br/>its half-width and half-height (radius).<br/><br/>Parameters: Image source, ByRef Image destination, Number radius_x, Number radius_y<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
635,Cli Jx Minimum 3D Box,"Computes the local minimum of a pixels cube neighborhood. <br/><br/>The cubes size is specified by <br/>its half-width, half-height and half-depth (radius).<br/><br/>Parameters: Image source, ByRef Image destination, Number radius_x, Number radius_y, Number radius_z<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
636,Cli Jx Minimum 3D Sphere,"Computes the local minimum of a pixels spherical neighborhood. <br/><br/>The spheres size is specified by <br/>its half-width, half-height and half-depth (radius).<br/><br/>Parameters: Image source, ByRef Image destination, Number radius_x, Number radius_y, Number radius_z<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
637,Cli Jx Minimum Distance Of Touching Neighbors,"Takes a touch matrix and a distance matrix to determine the shortest distance of touching neighbors for every object.<br/><br/>Parameters: Image distance_matrix, Image touch_matrix, ByRef Image minimum_distancelist_destination<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
638,Cli Jx Minimum Image And Scalar,"Computes the minimum of a constant scalar s and each pixel value x in a given image X.<br/><br/><pre>f(x, s) = min(x, s)</pre><br/><br/>Parameters: Image source, ByRef Image destination, Number scalar<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
639,Cli Jx Minimum Images,"Computes the minimum of a pair of pixel values x, y from two given images X and Y.<br/><br/><pre>f(x, y) = min(x, y)</pre><br/><br/>Parameters: Image source1, Image source2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
640,Cli Jx Minimum Neighbor Distance Map,"Takes a label map, determines which labels touch and replaces every label with the minimum distance to their neighboring labels.<br/><br/>To determine the distances, the centroid of the labels is determined internally.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
641,Cli Jx Minimum Octagon,"Applies a minimum filter with kernel size 3x3 n times to an image iteratively. <br/><br/>Odd iterations are done with box neighborhood, even iterations with a diamond. Thus, with n > 2, the filter shape is an octagon. The given number of iterations makes the filter result very similar to minimum sphere. Approximately:radius = iterations - 2<br/><br/>Parameters: Image input, ByRef Image destination, Number iterations<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
642,Cli Jx Minimum Of All Pixels,"Determines the minimum of all pixels in a given image. <br/><br/>It will be stored in a new row of ImageJs<br/>Results table in the column 'Min'.<br/><br/>Parameters<br/>----------<br/>source : Image<br/>    The image of which the minimum of all pixels or voxels will be determined.<br/><br/><br/>Parameters: Image source<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
643,Cli Jx Minimum Of Masked Pixels,"Determines the minimum intensity in a masked image. <br/><br/>But only in pixels which have non-zero values in another mask image.<br/><br/>Parameters: Image source, Image mask<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
644,Cli Jx Minimum Of N Nearest Neighbors Map,"Takes a label image and a parametric intensity image and will replace each labels value in the parametric image<br/>by the minimum value of neighboring labels. The distance number of nearest neighbors can be configured.<br/>Note: Values of all pixels in a label each must be identical.<br/><br/>Parameters<br/>----------<br/>parametric_map : Image<br/>label_map : Image<br/>parametric_map_destination : Image<br/>n : int<br/>    number of nearest neighbors<br/><br/>Parameters: Image parametric_map, Image label_map, ByRef Image parametric_map_destination, Number n<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
645,Cli Jx Minimum Of Proximal Neighbors Map,"Takes a label image and a parametric intensity image and will replace each labels value in the parametric image by the minimum value of neighboring labels.<br/><br/> The distance range of the centroids of the neighborhood can be configured.<br/>Note: Values of all pixels in a label each must be identical.<br/><br/>Parameters<br/>----------<br/>parametric_map : Image<br/>label_map : Image<br/>parametric_map_destination : Image<br/>min_distance : float, optional<br/>    default : 0<br/>max_distance : float, optional<br/>    default: maximum float value<br/><br/>Parameters: Image parametric_map, Image label_map, ByRef Image parametric_map_destination, Number min_distance, Number max_distance<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
646,Cli Jx Minimum Slice By Slice Sphere,"Computes the local minimum of a pixels ellipsoidal 2D neighborhood in an image stack <br/>slice by slice. <br/><br/>The ellipses size is specified by its half-width and half-height (radius).<br/><br/>This filter is applied slice by slice in 2D.<br/><br/>Parameters: Image source, ByRef Image destination, Number radiusX, Number radiusY<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
647,Cli Jx Minimum Z Projection,"Determines the minimum intensity projection of an image along Z.<br/><br/>Parameters: Image source, ByRef Image destination_min<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
648,Cli Jx Minimum Z Projection Bounded,"Determines the minimum intensity projection of an image along Z within a given z range.<br/><br/>Parameters: Image source, ByRef Image destination_min, Number min_z, Number max_z<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
649,Cli Jx Minimum Z Projection Thresholded Bounded,"Determines the minimum intensity projection of all pixels in an image above a given threshold along Z within a given z range.<br/><br/>Parameters: Image source, ByRef Image destination_min, Number min_z, Number max_z<br/>Available for: 3D -> 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
650,Cli Jx Mode Of N Nearest Neighbors Map,"Takes a label image and a parametric intensity image and will replace each labels value in the parametric image<br/>by the mode value of neighboring labels. The distance number of nearest neighbors can be configured.<br/>Note: Values of all pixels in a label each must be identical.<br/><br/>Parameters<br/>----------<br/>parametric_map : Image<br/>label_map : Image<br/>parametric_map_destination : Image<br/>n : int<br/>    number of nearest neighbors<br/><br/>Parameters: Image parametric_map, Image label_map, ByRef Image parametric_map_destination, Number n<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
651,Cli Jx Mode Of Proximal Neighbors Map,"Takes a label image and a parametric intensity image and will replace each labels value in the parametric image by the most popular value of neighboring labels.<br/><br/> The distance range of the centroids of the neighborhood can be configured.<br/>Note: Values of all pixels in a label each must be identical.<br/><br/>Parameters<br/>----------<br/>parametric_map : Image<br/>label_map : Image<br/>parametric_map_destination : Image<br/>min_distance : float, optional<br/>    default : 0<br/>max_distance : float, optional<br/>    default: maximum float value<br/><br/>Parameters: Image parametric_map, Image label_map, ByRef Image parametric_map_destination, Number min_distance, Number max_distance<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
652,Cli Jx Mode Of Touching Neighbors,"Takes a touch matrix and a vector of values to determine the most popular integer value among touching neighbors for every object.<br/>TODO: This only works for values between 0 and 255 for now.<br/><br/>Parameters: Image values, Image touch_matrix, ByRef Image mode_values_destination<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
653,Cli Jx Multiply Image And Coordinate,"Multiplies all pixel intensities with the x, y or z coordinate, depending on specified dimension.<br/><br/>Parameters: Image source, ByRef Image destination, Number dimension<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
654,Cli Jx Multiply Image And Scalar,"Multiplies all pixels value x in a given image X with a constant scalar s.<br/><br/><pre>f(x, s) = x * s</pre><br/><br/>Parameters<br/>----------<br/>source : Image<br/>    The input image to be multiplied with a constant.<br/>destination : Image<br/>    The output image where results are written into.<br/>scalar : float<br/>    The number with which every pixel will be multiplied with.<br/><br/><br/>Parameters: Image source, ByRef Image destination, Number scalar<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
655,Cli Jx Multiply Images,"Multiplies all pairs of pixel values x and y from two images X and Y.<br/><br/><pre>f(x, y) = x * y</pre><br/><br/>Parameters<br/>----------<br/>factor1 : Image<br/>    The first input image to be multiplied.<br/>factor2 : Image<br/>    The second image to be multiplied.<br/>destination : Image<br/>    The output image where results are written into.<br/><br/><br/>Parameters: Image factor1, Image factor2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
656,Cli Jx Multiply Image Stack With Scalars,"Multiplies all pixels value x in a given image X with a constant scalar s from a list of scalars.<br/><br/><pre>f(x, s) = x * s</pre><br/><br/>Parameters: Image source, ByRef Image destination, Array scalars<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
657,Cli Jx Multiply Matrix,"Multiplies two matrices with each other.<br/><br/>Parameters: Image matrix1, Image matrix2, ByRef Image matrix_destination<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
658,Cli Jx Multiply Stack With Plane,"Multiplies all pairs of pixel values x and y from an image stack X and a 2D image Y. <br/><br/>x and y are at <br/>the same spatial position within a plane.<br/><br/><pre>f(x, y) = x * y</pre><br/><br/>Parameters: Image sourceStack, Image sourcePlane, ByRef Image destination<br/>Available for: 3D (first parameter), 2D (second parameter), 3D (result)<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
659,Cli Jx N Closest Points,"Determine the n point indices with shortest distance for all points in a distance matrix. <br/><br/>This corresponds to the n row indices with minimum values for each column of the distance matrix.<br/><br/>Parameters: Image distance_matrix, ByRef Image indexlist_destination, Number n<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
660,Cli Jx Neighbor Distance Range Ratio Map,"Takes a label map, determines which labels touch and replaces every label with the distance range ratio (maximum distance divided by minimum distance) to their neighboring labels.<br/><br/>To determine the distances, the centroids of the labels is determined internally.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
661,Cli Jx Nonzero Maximum Box,"Apply a maximum filter (box shape) to the input image. <br/><br/>The radius is fixed to 1 and pixels with value 0 are ignored.<br/>Note: Pixels with 0 value in the input image will not be overwritten in the output image.<br/>Thus, the result image should be initialized by copying the original image in advance.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
662,Cli Jx Nonzero Maximum Diamond,"Apply a maximum filter (diamond shape) to the input image. <br/><br/>The radius is fixed to 1 and pixels with value 0 are ignored.<br/>Note: Pixels with 0 value in the input image will not be overwritten in the output image.<br/>Thus, the result image should be initialized by copying the original image in advance.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
663,Cli Jx Nonzero Minimum Box,"Apply a minimum filter (box shape) to the input image. <br/><br/>The radius is fixed to 1 and pixels with value 0 are ignored.<br/>Note: Pixels with 0 value in the input image will not be overwritten in the output image.<br/>Thus, the result image should be initialized by copying the original image in advance.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
664,Cli Jx Nonzero Minimum Diamond,"Apply a minimum filter (diamond shape) to the input image. <br/><br/>The radius is fixed to 1 and pixels with value 0 are ignored.Note: Pixels with 0 value in the input image will not be overwritten in the output image.<br/>Thus, the result image should be initialized by copying the original image in advance.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
665,Cli Jx Not Equal,"Determines if two images A and B equal pixel wise.<br/><br/>f(a, b) = 1 if a != b; 0 otherwise.<br/><br/>Parameters<br/>----------<br/>source1 : Image<br/>    The first image to be compared with.<br/>source2 : Image<br/>    The second image to be compared with the first.<br/>destination : Image<br/>    The resulting binary image where pixels will be 1 only if source1 and source2 are not equal in the given pixel.<br/><br/><br/>Parameters: Image source1, Image source2, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
666,Cli Jx Not Equal Constant,"Determines if two images A and B equal pixel wise.<br/><br/>f(a, b) = 1 if a != b; 0 otherwise.Parameters<br/>----------<br/>source : Image<br/>    The image where every pixel is compared to the constant.<br/>destination : Image<br/>    The resulting binary image where pixels will be 1 only if source1 and source2 equal in the given pixel.<br/>constant : float<br/>    The constant where every pixel is compared to.<br/><br/><br/>Parameters: Image source, ByRef Image destination, Number constant<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
667,Cli Jx Onlyzero Overwrite Maximum Box,"Apply a local maximum filter to an image which only overwrites pixels with value 0.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
668,Cli Jx Onlyzero Overwrite Maximum Diamond,"Apply a local maximum filter to an image which only overwrites pixels with value 0.<br/><br/>Parameters: Image input, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
669,Cli Jx Opening Box,"Apply a binary opening to the input image by calling n erosions and n dilations subsequenntly.<br/><br/>Parameters: Image input, ByRef Image destination, Number number_of_erotions_and_dilations<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
670,Cli Jx Opening Diamond,"Apply a binary opening to the input image by calling n erosions and n dilations subsequenntly.<br/><br/>Parameters: Image input, ByRef Image destination, Number number_of_erotions_and_dilations<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
671,Cli Jx Out Of Intensity Range,"Sets all pixels to 1 if their intensity lies out of a given range, and 0 otherwise.<br/><br/>Given minimum and maximum are considered part of the range.<br/><br/>Parameters: Image source, ByRef Image destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
672,Cli Jx Paste 2D,"Pastes an image into another image at a given position.<br/><br/>Parameters: Image source, ByRef Image destination, Number destination_x, Number destination_y<br/>Available for: 2D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
673,Cli Jx Paste 3D,"Pastes an image into another image at a given position.<br/><br/>Parameters: Image source, ByRef Image destination, Number destination_x, Number destination_y, Number destination_z<br/>Available for: 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
674,Cli Jx Point Index List To Mesh,"Meshes all points in a given point list which are indiced in a corresponding index list.<br/><br/>Parameters: Image pointlist, Image indexlist, ByRef Image mesh_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
675,Cli Jx Point Index List To Touch Matrix,"Takes a list of point indices to generate a touch matrix (a.k.a. adjacency graph matrix) out of it. <br/><br/>The list hasa dimensionality of m*n for the points 1... m (0 a.k.a. background is not in this list). In the n rows, there are<br/>indices to points which should be connected.<br/><br/>Parameters<br/>----------<br/>indexlist : Image<br/>matrix_destination : Image<br/><br/>Parameters: Image indexlist, ByRef Image matrix_destination<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
676,Cli Jx Power,"Computes all pixels value x to the power of a given exponent a.<br/><br/><pre>f(x, a) = x ^ a</pre><br/><br/>Parameters: Image source, ByRef Image destination, Number exponent<br/>Available for: 2D, 3D<br/><br/><br/><br/><strong>Please be aware that this node was generated automatically by JIPipe from existing interfaces provided by CLIJ. Please contact the JIPipe developers if you find any issues.</strong>"
